277434.6,0,6,0
277434.8,0,6,0
277435.0,0,6,0
277435.2,0,6,0
277435.4,0,6,0
277435.6,0,6,0
277438.2,0,6,0
277438.4,0,6,0
277591.2,0,6,0
277591.4,0,6,0
277591.6,0,6,0
277591.8,0,6,0
277592.0,0,6,0
277592.2,0,6,0
277592.4,0,6,0
277604.8,6,0,1
277605.0,6,0,1
277605.2,6,0,1
277605.4,6,0,1
277605.6,6,0,1
277605.8,6,0,1
277606.0,6,0,1
277606.2,6,0,1
277606.4,5,1,0.833333
277606.6,5,0,1
277606.8,3,1,0.75
277607.0,3,1,0.75
277607.2,0,3,0
277607.4,0,4,0
277607.6,0,4,0
277607.8,0,4,0
277608.0,0,6,0
277608.2,0,6,0
277608.4,0,6,0
277608.8,0,6,0
277641.0,0,6,0
277641.2,0,6,0
277641.4,0,6,0
277641.6,0,6,0
277641.8,0,6,0
277642.0,0,6,0
277642.2,0,6,0
277642.4,0,6,0
277642.6,0,6,0
277642.8,0,6,0
277781.2,2,4,0.333333
277782.6,1,5,0.166667
277783.6,1,5,0.166667
277783.8,1,5,0.166667
277784.0,1,5,0.166667
277834.4,1,5,0.166667
277834.6,1,5,0.166667
277834.8,0,6,0
277835.0,0,6,0
277835.2,0,6,0
277838.0,1,5,0.166667
277841.6,1,5,0.166667
277842.0,0,6,0
277874.8,1,5,0.166667
277875.2,1,5,0.166667
277875.4,2,4,0.333333
277875.6,5,1,0.833333
277875.8,4,2,0.666667
277876.0,5,1,0.833333
277876.2,6,0,1
277876.6,6,0,1
277876.8,6,0,1
277877.0,6,0,1
277877.2,5,0,1
277877.6,4,2,0.666667
277877.8,2,3,0.4
277878.0,2,3,0.4
277881.2,2,4,0.333333
277886.0,2,4,0.333333
277886.2,1,4,0.2
277886.4,2,4,0.333333
277891.4,1,5,0.166667
277891.6,1,5,0.166667
277891.8,1,5,0.166667
278164.2,6,0,1
278164.4,6,0,1
278164.6,6,0,1
278164.8,6,0,1
278165.0,6,0,1
278165.2,5,1,0.833333
278165.4,4,1,0.8
278165.6,4,1,0.8
278165.8,5,1,0.833333
278166.0,5,1,0.833333
278166.2,3,2,0.6
278166.4,1,3,0.25
278166.6,1,4,0.2
278166.8,1,4,0.2
278167.0,1,5,0.166667
278233.2,5,1,0.833333
278234.2,1,5,0.166667
278234.4,1,5,0.166667
278283.6,0,6,0
278283.8,0,6,0
278284.0,0,6,0
278284.2,0,6,0
278284.4,1,5,0.166667
278298.2,1,5,0.166667
278298.4,2,4,0.333333
278300.4,1,5,0.166667
278323.6,0,6,0
278323.8,0,6,0
278324.0,0,6,0
278324.2,0,6,0
278386.4,1,5,0.166667
278386.6,0,6,0
278386.8,0,6,0
278387.0,0,6,0
278387.2,0,6,0
278387.4,1,5,0.166667
278391.2,0,6,0
278392.0,1,4,0.2
278392.2,1,4,0.2
278392.4,2,2,0.5
278392.6,3,1,0.75
278392.8,4,0,1
278393.0,4,0,1
278393.2,4,0,1
278393.4,5,0,1
278393.6,4,0,1
278393.8,5,0,1
278394.0,5,0,1
278394.2,5,1,0.833333
278394.4,3,2,0.6
278394.6,3,2,0.6
278394.8,1,3,0.25
278395.0,1,4,0.2
278395.2,1,4,0.2
278395.4,0,4,0
278395.6,1,5,0.166667
278404.2,1,5,0.166667
278404.4,1,5,0.166667
278404.6,2,4,0.333333
278404.8,2,4,0.333333
278405.6,1,5,0.166667
278405.8,2,4,0.333333
278406.0,2,4,0.333333
278407.6,0,6,0
278407.8,1,5,0.166667
278408.0,1,5,0.166667
278408.2,1,5,0.166667
278408.4,1,5,0.166667
278408.6,1,5,0.166667
278408.8,1,5,0.166667
278409.0,0,5,0
278409.2,0,5,0
278409.4,1,5,0.166667
278409.6,0,5,0
278409.8,1,5,0.166667
278410.0,2,4,0.333333
278625.0,6,0,1
278625.2,6,0,1
278625.4,5,0,1
278625.6,5,0,1
278625.8,5,0,1
278626.0,5,1,0.833333
278626.2,6,0,1
278626.6,6,0,1
278626.8,6,0,1
278627.0,5,0,1
278627.2,5,1,0.833333
278627.4,6,0,1
278627.6,6,0,1
278627.8,6,0,1
278628.0,5,1,0.833333
278628.2,6,0,1
278628.4,6,0,1
278628.6,6,0,1
278628.8,6,0,1
278629.0,6,0,1
278629.2,6,0,1
278629.4,6,0,1
278629.6,6,0,1
278629.8,6,0,1
278630.0,5,0,1
278630.2,6,0,1
278630.4,5,0,1
278630.6,4,0,1
278630.8,3,0,1
278631.8,3,0,1
278632.0,3,0,1
278632.2,3,0,1
278634.4,0,5,0
278634.6,0,5,0
278634.8,0,5,0
